"any_single","deskmate","sim_s1_s2","girl_s1","girl_s2","roma_s1","roma_s2","gpa_s1","gpa_s2","friend","friend_s1","friend_s2","girl_match","roma_match","mean_gpa","diff_gpa","sim_s1_s2_std","size","size","gendermatch","class_id","school_id","s1","s2"
0,1,0.606666666666667,0,1,0,0,4.2,4.6,0,0,0,"1","0",4.4,0.399999999999999,-0.447711083462575,"18",18,0,59379,32,888954,706146
0,0,0.94,0,0,0,0,4.2,5,0,1,0,"0","0",4.6,0.8,1.01866573549514,"18",18,1,59379,32,888954,288809
0,0,0.64,0,1,0,0,4.2,4.2,0,0,0,"1","0",4.2,0,-0.301073401566803,"18",18,0,59379,32,888954,925705
0,0,0.973333333333334,0,0,0,0,4.2,4.2,0,0,0,"0","0",4.2,0,1.16530341739091,"18",18,1,59379,32,888954,191079
0,0,0.94,0,0,0,0,4.2,5,1,1,1,"0","0",4.6,0.8,1.01866573549514,"18",18,1,59379,32,888954,94905
1,0,0.606666666666667,0,1,0,0,4.2,5,0,0,0,"1","0",4.6,0.8,-0.447711083462575,"18",18,0,59379,32,888954,253832
0,0,0.973333333333334,0,0,0,0,4.2,4.2,0,0,0,"0","0",4.2,0,1.16530341739091,"18",18,1,59379,32,888954,879977
0,0,0.94,0,0,0,0,4.2,4.6,0,0,0,"0","0",4.4,0.399999999999999,1.01866573549514,"18",18,1,59379,32,888954,276484
0,0,0.96,0,0,0,0,4.2,3.6,1,1,1,"0","0",3.9,0.6,1.1066483446326,"18",18,1,59379,32,888954,773439
0,0,0.623333333333333,0,1,0,0,4.2,4.8,0,0,0,"1","0",4.5,0.6,-0.374392242514689,"18",18,0,59379,32,888954,515780
1,0,0.986666666666667,0,0,0,0,4.2,4,1,1,1,"0","0",4.1,0.2,1.22395849014922,"18",18,1,59379,32,888954,630545
0,0,0.606666666666667,0,1,0,0,4.2,5,0,0,0,"1","0",4.6,0.8,-0.447711083462575,"18",18,0,59379,32,888954,873428
0,0,0.636666666666667,0,1,0,0,4.2,4.2,0,0,0,"1","0",4.2,0,-0.315737169756381,"18",18,0,59379,32,888954,112069
0,0,0.64,1,0,0,0,4.6,5,0,1,0,"1","0",4.8,0.4,-0.301073401566803,"18",18,0,59379,32,706146,288809
0,0,0.966666666666667,1,1,0,0,4.6,4.2,0,0,1,"2","0",4.4,0.399999999999999,1.13597588101176,"18",18,1,59379,32,706146,925705
0,0,0.633333333333333,1,0,0,0,4.6,4.2,0,0,0,"1","0",4.4,0.399999999999999,-0.330400937945958,"18",18,0,59379,32,706146,191079
0,0,0.64,1,0,0,0,4.6,5,0,0,0,"1","0",4.8,0.4,-0.301073401566803,"18",18,0,59379,32,706146,94905
1,0,0.973333333333334,1,1,0,0,4.6,5,0,0,0,"2","0",4.8,0.4,1.16530341739091,"18",18,1,59379,32,706146,253832
0,0,0.633333333333333,1,0,0,0,4.6,4.2,0,0,0,"1","0",4.4,0.399999999999999,-0.330400937945958,"18",18,0,59379,32,706146,879977
0,0,0.666666666666667,1,0,0,0,4.6,4.6,0,0,0,"1","0",4.6,0,-0.183763256050186,"18",18,0,59379,32,706146,276484
0,0,0.593333333333333,1,0,0,0,4.6,3.6,0,0,0,"1","0",4.1,1,-0.506366156220883,"18",18,0,59379,32,706146,773439
0,0,0.956666666666667,1,1,0,0,4.6,4.8,0,0,0,"2","0",4.7,0.2,1.09198457644303,"18",18,1,59379,32,706146,515780
1,0,0.62,1,0,0,0,4.6,4,0,1,0,"1","0",4.3,0.6,-0.389056010704266,"18",18,0,59379,32,706146,630545
0,0,0.973333333333334,1,1,0,0,4.6,5,0,0,0,"2","0",4.8,0.4,1.16530341739091,"18",18,1,59379,32,706146,873428
0,0,0.97,1,1,0,0,4.6,4.2,1,1,1,"2","0",4.4,0.399999999999999,1.15063964920133,"18",18,1,59379,32,706146,112069
0,1,0.606666666666667,0,1,0,0,5,4.2,0,0,0,"1","0",4.6,0.8,-0.447711083462574,"18",18,0,59379,32,288809,925705
0,0,0.94,0,0,0,0,5,4.2,1,1,1,"0","0",4.6,0.8,1.01866573549514,"18",18,1,59379,32,288809,191079
0,0,1,0,0,0,0,5,5,1,1,1,"0","0",5,0,1.28261356290753,"18",18,1,59379,32,288809,94905
1,0,0.666666666666667,0,1,0,0,5,5,0,1,0,"1","0",5,0,-0.183763256050186,"18",18,0,59379,32,288809,253832
0,0,0.94,0,0,0,0,5,4.2,1,1,1,"0","0",4.6,0.8,1.01866573549514,"18",18,1,59379,32,288809,879977
0,0,0.973333333333334,0,0,0,0,5,4.6,1,1,1,"0","0",4.8,0.4,1.16530341739091,"18",18,1,59379,32,288809,276484
0,0,0.9,0,0,0,0,5,3.6,0,0,0,"0","0",4.3,1.4,0.842700517220214,"18",18,1,59379,32,288809,773439
0,0,0.65,0,1,0,0,5,4.8,0,0,1,"1","0",4.9,0.2,-0.257082096998072,"18",18,0,59379,32,288809,515780
1,0,0.926666666666667,0,0,0,0,5,4,0,0,0,"0","0",4.5,1,0.960010662736832,"18",18,1,59379,32,288809,630545
0,0,0.666666666666667,0,1,0,0,5,5,0,0,1,"1","0",5,0,-0.183763256050186,"18",18,0,59379,32,288809,873428
0,0,0.61,0,1,0,0,5,4.2,0,0,0,"1","0",4.6,0.8,-0.433047315272997,"18",18,0,59379,32,288809,112069
0,0,0.666666666666667,1,0,0,0,4.2,4.2,1,1,1,"1","0",4.2,0,-0.183763256050186,"18",18,0,59379,32,925705,191079
0,0,0.606666666666667,1,0,0,0,4.2,5,0,0,0,"1","0",4.6,0.8,-0.447711083462574,"18",18,0,59379,32,925705,94905
1,0,0.94,1,1,0,0,4.2,5,1,1,1,"2","0",4.6,0.8,1.01866573549514,"18",18,1,59379,32,925705,253832
0,0,0.666666666666667,1,0,0,0,4.2,4.2,0,0,0,"1","0",4.2,0,-0.183763256050186,"18",18,0,59379,32,925705,879977
0,0,0.633333333333333,1,0,0,0,4.2,4.6,0,0,0,"1","0",4.4,0.399999999999999,-0.330400937945958,"18",18,0,59379,32,925705,276484
0,0,0.626666666666667,1,0,0,0,4.2,3.6,0,0,0,"1","0",3.9,0.6,-0.359728474325111,"18",18,0,59379,32,925705,773439
0,0,0.956666666666667,1,1,0,0,4.2,4.8,1,1,1,"2","0",4.5,0.6,1.09198457644303,"18",18,1,59379,32,925705,515780
1,0,0.653333333333333,1,0,0,0,4.2,4,0,0,0,"1","0",4.1,0.2,-0.242418328808495,"18",18,0,59379,32,925705,630545
0,0,0.94,1,1,0,0,4.2,5,0,0,0,"2","0",4.6,0.8,1.01866573549514,"18",18,1,59379,32,925705,873428
0,0,0.97,1,1,0,0,4.2,4.2,0,0,0,"2","0",4.2,0,1.15063964920133,"18",18,1,59379,32,925705,112069
0,1,0.94,0,0,0,0,4.2,5,0,1,0,"0","0",4.6,0.8,1.01866573549514,"18",18,1,59379,32,191079,94905
1,0,0.606666666666667,0,1,0,0,4.2,5,0,0,0,"1","0",4.6,0.8,-0.447711083462574,"18",18,0,59379,32,191079,253832
0,0,1,0,0,0,0,4.2,4.2,0,0,1,"0","0",4.2,0,1.28261356290753,"18",18,1,59379,32,191079,879977
0,0,0.966666666666667,0,0,0,0,4.2,4.6,0,0,0,"0","0",4.4,0.399999999999999,1.13597588101176,"18",18,1,59379,32,191079,276484
0,0,0.96,0,0,0,0,4.2,3.6,0,0,0,"0","0",3.9,0.6,1.1066483446326,"18",18,1,59379,32,191079,773439
0,0,0.623333333333333,0,1,0,0,4.2,4.8,1,1,1,"1","0",4.5,0.6,-0.374392242514689,"18",18,0,59379,32,191079,515780
1,0,0.986666666666667,0,0,0,0,4.2,4,0,0,1,"0","0",4.1,0.2,1.22395849014922,"18",18,1,59379,32,191079,630545
0,0,0.606666666666667,0,1,0,0,4.2,5,0,0,0,"1","0",4.6,0.8,-0.447711083462574,"18",18,0,59379,32,191079,873428
0,0,0.636666666666667,0,1,0,0,4.2,4.2,0,0,0,"1","0",4.2,0,-0.315737169756381,"18",18,0,59379,32,191079,112069
1,0,0.666666666666667,0,1,0,0,5,5,0,0,0,"1","0",5,0,-0.183763256050186,"18",18,0,59379,32,94905,253832
0,0,0.94,0,0,0,0,5,4.2,1,1,1,"0","0",4.6,0.8,1.01866573549514,"18",18,1,59379,32,94905,879977
0,0,0.973333333333334,0,0,0,0,5,4.6,1,1,1,"0","0",4.8,0.4,1.16530341739091,"18",18,1,59379,32,94905,276484
0,0,0.9,0,0,0,0,5,3.6,0,0,0,"0","0",4.3,1.4,0.842700517220214,"18",18,1,59379,32,94905,773439
0,0,0.65,0,1,0,0,5,4.8,0,0,0,"1","0",4.9,0.2,-0.257082096998072,"18",18,0,59379,32,94905,515780
1,0,0.926666666666667,0,0,0,0,5,4,0,0,0,"0","0",4.5,1,0.960010662736832,"18",18,1,59379,32,94905,630545
0,0,0.666666666666667,0,1,0,0,5,5,0,0,0,"1","0",5,0,-0.183763256050186,"18",18,0,59379,32,94905,873428
0,0,0.61,0,1,0,0,5,4.2,0,0,0,"1","0",4.6,0.8,-0.433047315272997,"18",18,0,59379,32,94905,112069
1,0,0.606666666666667,1,0,0,0,5,4.2,0,0,1,"1","0",4.6,0.8,-0.447711083462574,"18",18,0,59379,32,253832,879977
1,0,0.64,1,0,0,0,5,4.6,0,0,0,"1","0",4.8,0.4,-0.301073401566803,"18",18,0,59379,32,253832,276484
1,0,0.566666666666667,1,0,0,0,5,3.6,0,0,0,"1","0",4.3,1.4,-0.6236763017375,"18",18,0,59379,32,253832,773439
1,0,0.983333333333334,1,1,0,0,5,4.8,0,1,0,"2","0",4.9,0.2,1.20929472195964,"18",18,1,59379,32,253832,515780
1,0,0.593333333333333,1,0,0,0,5,4,0,0,0,"1","0",4.5,1,-0.506366156220883,"18",18,0,59379,32,253832,630545
1,0,1,1,1,0,0,5,5,1,1,1,"2","0",5,0,1.28261356290753,"18",18,1,59379,32,253832,873428
1,0,0.943333333333333,1,1,0,0,5,4.2,0,0,1,"2","0",4.6,0.8,1.03332950368472,"18",18,1,59379,32,253832,112069
0,1,0.966666666666667,0,0,0,0,4.2,4.6,0,1,0,"0","0",4.4,0.399999999999999,1.13597588101176,"18",18,1,59379,32,879977,276484
0,0,0.96,0,0,0,0,4.2,3.6,0,0,0,"0","0",3.9,0.6,1.1066483446326,"18",18,1,59379,32,879977,773439
0,0,0.623333333333333,0,1,0,0,4.2,4.8,0,0,0,"1","0",4.5,0.6,-0.374392242514689,"18",18,0,59379,32,879977,515780
1,0,0.986666666666667,0,0,0,0,4.2,4,0,0,0,"0","0",4.1,0.2,1.22395849014922,"18",18,1,59379,32,879977,630545
0,0,0.606666666666667,0,1,0,0,4.2,5,0,0,0,"1","0",4.6,0.8,-0.447711083462574,"18",18,0,59379,32,879977,873428
0,0,0.636666666666667,0,1,0,0,4.2,4.2,0,0,0,"1","0",4.2,0,-0.315737169756381,"18",18,0,59379,32,879977,112069
0,0,0.926666666666667,0,0,0,0,4.6,3.6,0,0,0,"0","0",4.1,1,0.960010662736832,"18",18,1,59379,32,276484,773439
0,0,0.623333333333333,0,1,0,0,4.6,4.8,0,1,0,"1","0",4.7,0.2,-0.374392242514689,"18",18,0,59379,32,276484,515780
1,0,0.953333333333333,0,0,0,0,4.6,4,0,0,1,"0","0",4.3,0.6,1.07732080825345,"18",18,1,59379,32,276484,630545
0,0,0.64,0,1,0,0,4.6,5,0,0,0,"1","0",4.8,0.4,-0.301073401566803,"18",18,0,59379,32,276484,873428
0,0,0.636666666666667,0,1,0,0,4.6,4.2,1,1,1,"1","0",4.4,0.399999999999999,-0.31573716975638,"18",18,0,59379,32,276484,112069
0,1,0.583333333333333,0,1,0,0,3.6,4.8,0,0,1,"1","0",4.2,1.2,-0.550357460789615,"18",18,0,59379,32,773439,515780
1,0,0.973333333333334,0,0,0,0,3.6,4,0,0,0,"0","0",3.8,0.4,1.16530341739091,"18",18,1,59379,32,773439,630545
0,0,0.566666666666667,0,1,0,0,3.6,5,0,0,0,"1","0",4.3,1.4,-0.6236763017375,"18",18,0,59379,32,773439,873428
0,0,0.623333333333333,0,1,0,0,3.6,4.2,0,0,0,"1","0",3.9,0.6,-0.374392242514689,"18",18,0,59379,32,773439,112069
1,0,0.61,1,0,0,0,4.8,4,0,1,0,"1","0",4.4,0.8,-0.433047315272997,"18",18,0,59379,32,515780,630545
0,0,0.983333333333334,1,1,0,0,4.8,5,0,0,0,"2","0",4.9,0.2,1.20929472195964,"18",18,1,59379,32,515780,873428
0,0,0.96,1,1,0,0,4.8,4.2,0,0,0,"2","0",4.5,0.6,1.1066483446326,"18",18,1,59379,32,515780,112069
1,0,0.593333333333333,0,1,0,0,4,5,0,0,0,"1","0",4.5,1,-0.506366156220883,"18",18,0,59379,32,630545,873428
1,0,0.65,0,1,0,0,4,4.2,0,0,0,"1","0",4.1,0.2,-0.257082096998072,"18",18,0,59379,32,630545,112069
0,1,0.943333333333333,1,1,0,0,5,4.2,0,0,0,"2","0",4.6,0.8,1.03332950368472,"18",18,1,59379,32,873428,112069
0,1,0.986666666666667,0,0,0,0,4.8,4.6,1,1,1,"0","0",4.7,0.2,1.22395849014922,"11",11,1,60130,32,161647,766901
0,0,0.883333333333333,0,0,0,0,4.8,3.2,0,1,0,"0","0",4,1.6,0.769381676272329,"11",11,1,60130,32,161647,394301
0,0,0.566666666666667,0,1,0,0,4.8,3.8,0,0,0,"1","0",4.3,1,-0.6236763017375,"11",11,0,60130,32,161647,259466
0,0,0.65,0,1,0,0,4.8,5,0,0,0,"1","0",4.9,0.2,-0.257082096998072,"11",11,0,60130,32,161647,942614
0,0,0.956666666666667,0,0,0,0,4.8,4.6,1,1,1,"0","0",4.7,0.2,1.09198457644303,"11",11,1,60130,32,161647,249409
0,0,1,0,0,0,0,4.8,4.8,1,1,1,"0","0",4.8,0,1.28261356290753,"11",11,1,60130,32,161647,511776
0,0,1,0,0,0,0,4.8,4.8,1,1,1,"0","0",4.8,0,1.28261356290753,"11",11,1,60130,32,161647,807841
0,0,0.61,0,1,0,0,4.8,4.4,0,0,1,"1","0",4.6,0.399999999999999,-0.433047315272997,"11",11,0,60130,32,161647,539057
0,0,0.61,0,1,0,0,4.8,4,0,0,1,"1","0",4.4,0.8,-0.433047315272997,"11",11,0,60130,32,161647,208872
1,0,0.65,0,1,0,0,4.8,4.6,0,0,0,"1","0",4.7,0.2,-0.257082096998072,"11",11,0,60130,32,161647,339139
0,0,0.896666666666667,0,0,0,0,4.6,3.2,0,0,0,"0","0",3.9,1.4,0.828036749030638,"11",11,1,60130,32,766901,394301
0,0,0.58,0,1,0,0,4.6,3.8,0,0,0,"1","0",4.2,0.8,-0.565021228979192,"11",11,0,60130,32,766901,259466
0,0,0.636666666666667,0,1,0,0,4.6,5,0,0,0,"1","0",4.8,0.4,-0.315737169756381,"11",11,0,60130,32,766901,942614
